"filename", "language", "Dart", "comment", "blank", "total"
"/Users/Roy/dev/projects/flutter/metapp/lib/views/chat_views/favorite_users_list_view.dart", "Dart", 66, 0, 3, 69
"/Users/Roy/dev/projects/flutter/metapp/lib/views/chat_views/users_list_view.dart", "Dart", 104, 0, 5, 109
"/Users/Roy/dev/projects/flutter/metapp/lib/views/chat_views/users_list_view_with_checkbox.dart", "Dart", 107, 0, 7, 114
"/Users/Roy/dev/projects/flutter/metapp/lib/views/chat_views/users_view.dart", "Dart", 203, 1, 10, 214
"/Users/Roy/dev/projects/flutter/metapp/lib/views/chat_views/users_view_with_checkbox.dart", "Dart", 154, 1, 9, 164
"/Users/Roy/dev/projects/flutter/metapp/lib/views/home_menu_view.dart", "Dart", 95, 103, 9, 207
"/Users/Roy/dev/projects/flutter/metapp/lib/views/item_views/create_update_item_view.dart", "Dart", 169, 0, 18, 187
"/Users/Roy/dev/projects/flutter/metapp/lib/views/item_views/items_grid_view.dart", "Dart", 55, 0, 5, 60
"/Users/Roy/dev/projects/flutter/metapp/lib/views/item_views/items_view.dart", "Dart", 61, 48, 8, 117
"/Users/Roy/dev/projects/flutter/metapp/lib/views/order_views/create_new_order_view.dart", "Dart", 154, 0, 13, 167
"/Users/Roy/dev/projects/flutter/metapp/lib/views/order_views/order_items_views/create_update_order_item_view.dart", "Dart", 225, 0, 16, 241
"/Users/Roy/dev/projects/flutter/metapp/lib/views/order_views/order_items_views/order_items_grid_view.dart", "Dart", 57, 0, 4, 61
"/Users/Roy/dev/projects/flutter/metapp/lib/views/order_views/order_items_views/order_items_view.dart", "Dart", 123, 0, 6, 129
"/Users/Roy/dev/projects/flutter/metapp/lib/views/order_views/orders_grid_view.dart", "Dart", 69, 0, 4, 73
"/Users/Roy/dev/projects/flutter/metapp/lib/views/order_views/orders_view.dart", "Dart", 81, 0, 9, 90
"/Users/Roy/dev/projects/flutter/metapp/lib/views/settings_views/settings_view.dart", "Dart", 268, 0, 9, 277
"/Users/Roy/dev/projects/flutter/metapp/lib/widgets/checkbox_widget.dart", "Dart", 33, 0, 6, 39
"/Users/Roy/dev/projects/flutter/metapp/lib/widgets/heart_widget.dart", "Dart", 82, 0, 8, 90
"Total", "-", 5390, 177, 507, 6074
